timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260309_170759,6,80.678,reg-g1gc,768m,0.45,0.5,4,0.0,0.54,0.54,158.45,388.03,64,1376,0,0
20260309_171055,6,76.719,reg-parallel,768m,0.45,0.5,4,0.0,1.13,1.13,241.72,455.11,55,874,3,904
20260309_171348,6,79.472,reg-serial,768m,0.45,0.5,4,0.0,1.13,1.13,62.42,257.56,241,1971,4,661
