timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260310_140421,1,143.116,metaspace-unlimited,768m,0.45,0.5,4,4.72,1.19,5.29,258.71,503.12,202,1215,3,628
20260310_141622,1,144.17,metaspace-256,768m,0.45,0.5,4,4.72,0.71,5.29,235.01,459.53,191,1235,0,0
20260310_141249,1,143.025,metaspace-192,768m,0.45,0.5,4,4.72,0.71,5.29,232.45,457.43,187,1201,0,0

