timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260309_180607,3,103.285,heap-min-0,768m,0.45,0.5,4,11.27,7.12,18.39,298.15,505.65,65,1133,3,950
20260309_180850,3,96.129,heap-min-64,768m,0.45,0.5,4,10.49,7.12,17.61,283.1,502.1,58,883,3,826
20260309_181148,3,92.937,heap-min-128,768m,0.45,0.5,4,10.49,7.12,17.61,266.46,511.35,54,857,3,643
20260309_191116,3,105.889,heap-min-256,768m,0.45,0.5,4,10.49,7.12,17.61,277.11,510.81,46,867,3,612
20260309_191614,3,104.898,heap-min-384,768m,0.45,0.5,4,10.49,7.19,17.68,261.92,480.23,46,706,3,553
20260309_192511,3,106.135,heap-min-max,768m,0.45,0.5,4,10.49,7.19,17.68,242.97,480.08,40,752,3,629
20260309_192816,3,104.602,heap-min-max-larger,768m,0.45,0.5,4,15.99,7.19,23.18,270.45,525.12,32,647,3,656
