timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260309_165751,5,111.184,reg-g1gc,768m,0.45,0.5,4,9.44,13.58,22.87,170.92,399.63,81,2089,0,0
20260309_170037,5,96.128,reg-parallel,768m,0.45,0.5,4,9.44,13.48,22.87,289.2,518.88,52,938,3,846
20260309_170303,5,83.899,reg-serial,768m,0.45,0.5,4,9.44,13.55,22.84,111.38,327.31,187,2094,5,955
