timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260309_163812,1,155.561,reg-g1gc,768m,0.45,0.5,4,4.72,1.19,5.29,164.64,407.09,179,1977,0,0
20260309_164141,1,136.526,reg-parallel,768m,0.45,0.5,4,4.72,0.71,5.29,253.52,472.51,192,1443,3,848
20260309_164503,1,141.81,reg-serial,768m,0.45,0.5,4,4.72,1.19,5.29,68.85,272.66,809,4738,4,632
