header,maxmem,runtime
Query5 dietpi liberica mem640m ram 95,349176,212
Query5 dietpi liberica mem640m ram 90,347536,212
Query5 dietpi liberica mem640m ram 70,344700,209
Query5 dietpi liberica mem640m ram 50,349172,209
