header,maxmem,runtime
Query1 dietpi liberica mem640m default part4,325348,306
Query1 dietpi liberica mem640m default part4,303784,316
Query1 dietpi liberica mem640m default part2,307004,321
Query1 dietpi liberica mem640m default part1,306432,316
Query1 dietpi liberica mem640m default part8,305880,319
