header,maxmem,runtime
Query1 dietpi liberica mem500m default,300460,312
Query1 dietpi liberica mem512m default,298156,328
Query1 dietpi liberica mem640m default,305760,310
Query1 dietpi liberica mem768m default,316700,315
Query1 dietpi liberica mem896m default,320364,313
Query1 dietpi liberica mem1024m default,317912,318
