timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260422_000756,,3,103.486,default,896m,0.45,0.5,4,10.49,42.65,53.13,162.27,405.66,412,2768,1,632
20260422_000756,,1,161.541,default,896m,0.45,0.5,4,10.49,43.22,53.13,177.86,412.32,1024,5443,0,0
20260422_000756,,6,60.119,default,896m,0.45,0.5,4,10.49,43.22,53.13,177.86,421.46,283,1743,1,854
20260422_000756,,5,99.141,default,896m,0.45,0.5,4,10.49,53.29,62.73,181.97,429.06,332,2381,1,700
20260422_000756,,1,154.89,default,896m,0.45,0.5,4,10.49,54.01,63.45,195.47,435.87,908,4969,0,0
20260422_000756,,6,57.594,default,896m,0.45,0.5,4,10.49,54.66,63.45,207.55,453.7,243,1391,1,469
20260422_000756,,3,97.413,default,896m,0.45,0.5,4,10.49,54.66,63.45,219.11,471.47,290,2367,0,0
20260422_000756,,5,94.376,default,896m,0.45,0.5,4,10.49,54.66,63.45,219.11,496.82,257,1993,1,708
20260422_000756,,3,99.517,default,896m,0.45,0.5,4,10.49,57.23,63.45,220.97,500.79,289,2074,1,897
20260422_000756,,6,56.756,default,896m,0.45,0.5,4,10.49,57.23,63.45,220.97,500.79,211,1301,0,0
20260422_000756,,1,151.56,default,896m,0.45,0.5,4,10.49,57.23,63.45,242.63,500.79,770,4102,0,0
20260422_000756,,5,95.302,default,896m,0.45,0.5,4,10.49,57.23,63.45,242.63,500.79,257,1936,1,687
