timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260317_165519,18,129.407,default,512m,0.45,0.5,4,86.29,5.69,91.98,236.81,474.87,217,3423,7,2392
20260317_165921,18,127.874,default,640m,0.45,0.5,4,144.63,5.74,150.38,296.01,537.2,217,3397,7,1859
20260317_170224,18,125.783,default,768m,0.45,0.5,4,192.94,5.71,198.65,334.39,608.01,217,3805,8,2950
20260317_170523,18,131.543,default,512m,0.45,0.5,4,86.27,5.71,91.98,231.04,499.25,222,3521,8,2941
20260317_170823,18,126.184,default,640m,0.45,0.5,4,144.63,5.74,150.38,264.43,507.6,217,3488,7,2133
20260317_171131,18,122.873,default,768m,0.45,0.5,4,192.94,5.71,198.65,326.99,617.32,216,3693,8,2983
20260317_171426,18,132.841,default,512m,0.45,0.5,4,86.29,5.69,91.98,215.45,469.88,224,3449,8,2956
20260317_171728,18,127.373,default,640m,0.45,0.5,4,144.69,5.69,150.38,259.7,498.36,220,3363,7,1927
20260317_172024,18,123.744,default,768m,0.45,0.5,4,192.94,5.71,198.65,379.7,606.15,211,3724,7,2436
