timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260420_182240,,1,51.819,reg-serial,768m,0.45,0.5,4,9.44,1.32,10.62,95.0,300.79,496,2819,1,367
20260420_182240,,6,18.74,reg-serial,768m,0.45,0.5,4,9.44,1.86,10.62,105.95,317.17,137,822,0,0
20260420_182240,,3,37.119,reg-serial,768m,0.45,0.5,4,10.49,7.19,17.68,116.82,344.66,166,1277,1,683
20260420_182240,,5,37.6,reg-serial,768m,0.45,0.5,4,10.49,13.45,22.89,116.82,361.44,145,1334,1,681
20260420_182240,,3,32.604,reg-serial,768m,0.45,0.5,4,10.49,20.46,30.95,116.82,370.22,140,1156,1,451
20260420_182240,,6,18.214,reg-serial,768m,0.45,0.5,4,10.49,20.98,30.95,140.85,375.66,102,711,0,0
20260420_182240,,1,46.092,reg-serial,768m,0.45,0.5,4,10.49,20.98,30.95,140.85,390.84,308,2060,1,689
20260420_182240,,5,30.695,reg-serial,768m,0.45,0.5,4,10.49,26.86,36.29,164.06,402.07,105,931,0,0
20260420_182240,,6,16.998,reg-serial,768m,0.45,0.5,4,10.49,27.2,36.29,171.95,418.76,85,694,0,0
20260420_182240,,5,30.009,reg-serial,768m,0.45,0.5,4,10.49,27.73,36.29,171.95,430.78,98,880,1,474
20260420_182240,,1,46.663,reg-serial,768m,0.45,0.5,4,10.49,27.73,36.29,192.51,435.76,287,2210,0,0
20260420_182240,,3,31.511,reg-serial,768m,0.45,0.5,4,10.49,27.73,36.29,192.51,441.29,109,904,1,703
20260420_182240,,6,17.3,reg-serial,768m,0.45,0.5,4,10.49,27.73,36.29,192.51,441.29,77,544,0,0
20260420_182240,,5,29.592,reg-serial,768m,0.45,0.5,4,10.49,28.98,38.41,192.51,441.29,100,928,0,0
20260420_182240,,1,48.036,reg-serial,768m,0.45,0.5,4,10.49,29.38,38.82,192.51,441.68,287,1960,1,857
20260420_182240,,3,30.686,reg-serial,768m,0.45,0.5,4,10.49,31.72,38.82,192.51,441.68,109,818,0,0
20260420_182240,,1,46.612,reg-serial,768m,0.45,0.5,4,10.49,31.72,38.82,192.51,441.68,288,2061,0,0
20260420_182240,,3,30.92,reg-serial,768m,0.45,0.5,4,10.49,31.72,38.82,192.51,441.68,109,865,1,853
20260420_182240,,6,16.754,reg-serial,768m,0.45,0.5,4,10.49,31.72,38.82,192.51,441.68,78,557,0,0
20260420_182240,,5,29.532,reg-serial,768m,0.45,0.5,4,10.49,31.72,38.82,192.51,442.61,99,966,0,0
