timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260420_202011,,6,23.126,default,640m,0.45,0.5,4,4.72,1.25,5.29,80.86,303.44,150,918,1,661
20260420_202011,,3,38.625,default,640m,0.45,0.5,4,10.49,7.74,18.23,97.07,346.08,199,1417,1,636
20260420_202011,,5,38.29,default,640m,0.45,0.5,4,10.49,14.12,23.42,126.28,374.19,151,1434,1,683
20260420_202011,,1,50.843,default,640m,0.45,0.5,4,10.49,14.12,23.42,126.28,382.58,399,2815,1,824
20260420_202011,,6,17.368,default,640m,0.45,0.5,4,10.49,14.12,23.42,126.28,382.58,113,716,0,0
20260420_202011,,1,46.879,default,640m,0.45,0.5,4,10.49,14.12,23.42,126.28,382.58,402,2299,0,0
20260420_202011,,3,32.08,default,640m,0.45,0.5,4,10.49,14.12,23.42,136.57,384.16,152,1143,1,642
20260420_202011,,5,32.429,default,640m,0.45,0.5,4,10.49,14.12,23.42,136.57,389.46,135,1229,1,676
20260420_202011,,5,30.454,default,640m,0.45,0.5,4,10.49,18.46,23.42,136.57,394.13,135,1173,1,686
20260420_202011,,1,48.104,default,640m,0.45,0.5,4,10.49,18.46,23.61,136.57,394.13,396,2717,0,0
20260420_202011,,6,16.313,default,640m,0.45,0.5,4,10.49,18.46,23.61,141.64,394.13,108,722,0,0
20260420_202011,,3,30.686,default,640m,0.45,0.5,4,10.49,18.46,23.61,141.64,394.13,152,1237,1,712
20260420_202011,,3,30.319,default,640m,0.45,0.5,4,10.49,18.46,23.61,141.64,398.22,150,1251,1,537
20260420_202011,,6,16.218,default,640m,0.45,0.5,4,10.49,18.46,23.61,141.97,398.22,102,700,0,0
20260420_202011,,1,47.381,default,640m,0.45,0.5,4,10.49,18.46,23.61,141.97,398.22,344,2157,1,645
20260420_202011,,5,28.804,default,640m,0.45,0.5,4,10.49,18.46,23.61,145.54,409.6,115,1069,0,0
20260420_202011,,1,47.915,default,640m,0.45,0.5,4,10.49,18.46,23.61,160.74,425.8,336,2387,1,389
20260420_202011,,3,29.973,default,640m,0.45,0.5,4,10.49,18.46,23.61,160.74,425.8,131,1048,0,0
20260420_202011,,6,15.665,default,640m,0.45,0.5,4,10.49,18.46,23.61,160.74,425.8,91,578,0,0
20260420_202011,,5,29.491,default,640m,0.45,0.5,4,10.49,18.46,23.61,160.74,425.8,117,974,1,789
