timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260421_092057,,6,79.055,default,512m,0.45,0.5,4,5.24,32.7,37.26,145.18,395.43,342,2223,1,794
20260421_092057,,3,123.123,default,512m,0.45,0.5,4,6.29,53.33,59.62,180.81,451.82,387,2954,1,834
20260421_092057,,5,110.828,default,512m,0.45,0.5,4,6.29,64.07,69.17,219.42,481.41,273,2308,0,0
20260421_092057,,1,213.64,default,512m,0.45,0.5,4,6.29,64.78,69.89,221.51,505.6,756,4775,1,805
20260421_092057,,6,74.502,default,512m,0.45,0.5,4,6.29,65.3,69.89,221.51,505.6,211,1556,0,0
20260421_092057,,3,115.418,default,512m,0.45,0.5,4,6.29,65.3,69.89,241.23,505.6,284,2136,1,755
20260421_092057,,1,209.102,default,512m,0.45,0.5,4,6.29,65.3,69.89,241.23,505.6,755,4716,0,0
20260421_092057,,5,108.438,default,512m,0.45,0.5,4,6.29,65.3,69.89,241.23,505.6,254,2041,1,779
20260421_092057,,3,115.512,default,512m,0.45,0.5,4,6.29,65.3,69.89,241.23,506.06,284,2126,0,0
20260421_092057,,6,73.554,default,512m,0.45,0.5,4,6.29,65.3,69.89,249.67,506.2,210,1470,1,882
20260421_092057,,1,207.483,default,512m,0.45,0.5,4,6.29,65.3,69.89,249.67,506.2,755,4524,0,0
20260421_092057,,5,107.206,default,512m,0.45,0.5,4,6.29,65.3,69.89,249.67,506.53,254,2038,0,0
