timestamp,query,elapsed_s,jvm_config,executor_memory,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260223_161451,9,224.056,default,640m,0.2,4,185.6,4.73,190.18,362.06,609.74,869,7364,8,3420
20260223_162218,9,234.17,default,640m,0.4,4,168.82,4.77,173.44,344.26,586.25,870,7551,8,3512
20260223_162804,9,227.783,default,640m,0.5,4,168.82,4.77,173.44,347.8,601.78,841,7202,8,3604
20260223_163312,9,226.1,default,640m,0.6,4,168.82,4.63,173.3,301.82,592.13,848,7217,8,3474
20260223_164342,9,231.498,default,640m,0.7,4,156.24,4.65,160.88,285.25,592.7,841,7194,8,3539
20260223_164852,9,232.263,default,640m,0.8,4,156.24,4.63,160.71,327.81,586.07,849,7079,8,3544
