timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260420_180340,,1,53.122,reg-serial,896m,0.45,0.5,4,9.44,1.18,10.62,102.01,310.12,397,2303,1,666
20260420_180340,,6,19.064,reg-serial,896m,0.45,0.5,4,9.44,1.86,10.62,113.0,326.5,110,673,0,0
20260420_180340,,3,37.572,reg-serial,896m,0.45,0.5,4,10.49,7.19,17.68,123.9,367.62,150,1253,1,722
20260420_180340,,5,36.171,reg-serial,896m,0.45,0.5,4,10.49,13.45,22.89,135.26,375.54,134,1188,1,381
20260420_180340,,6,17.697,reg-serial,896m,0.45,0.5,4,10.49,13.78,22.89,135.26,377.11,108,767,0,0
20260420_180340,,1,49.09,reg-serial,896m,0.45,0.5,4,10.49,14.38,23.82,143.27,377.11,393,2438,0,0
20260420_180340,,3,32.127,reg-serial,896m,0.45,0.5,4,10.49,20.44,30.92,143.27,382.32,139,992,1,880
20260420_180340,,5,32.653,reg-serial,896m,0.45,0.5,4,10.49,26.86,36.29,154.11,401.46,122,1104,1,722
20260420_180340,,6,16.555,reg-serial,896m,0.45,0.5,4,10.49,27.2,36.29,154.11,405.66,88,670,0,0
20260420_180340,,5,30.309,reg-serial,896m,0.45,0.5,4,10.49,27.73,36.29,159.46,418.89,113,1040,1,536
20260420_180340,,1,48.166,reg-serial,896m,0.45,0.5,4,10.49,27.73,36.29,159.46,422.3,318,2376,0,0
20260420_180340,,3,29.977,reg-serial,896m,0.45,0.5,4,10.49,27.73,36.29,175.3,422.3,121,904,1,426
20260420_180340,,5,29.868,reg-serial,896m,0.45,0.5,4,10.49,28.95,38.39,175.3,422.3,108,930,1,823
20260420_180340,,3,30.064,reg-serial,896m,0.45,0.5,4,10.49,28.95,38.39,175.3,425.27,121,1136,0,0
20260420_180340,,1,49.077,reg-serial,896m,0.45,0.5,4,10.49,28.95,38.39,175.3,427.54,304,2026,1,750
20260420_180340,,6,16.462,reg-serial,896m,0.45,0.5,4,10.49,28.95,38.39,175.3,427.54,83,576,0,0
20260420_180340,,3,28.991,reg-serial,896m,0.45,0.5,4,10.49,28.95,38.39,175.3,427.54,118,932,0,0
20260420_180340,,5,29.543,reg-serial,896m,0.45,0.5,4,10.49,28.95,38.39,175.3,428.31,101,884,1,756
20260420_180340,,6,16.581,reg-serial,896m,0.45,0.5,4,10.49,29.5,38.39,175.3,429.62,83,617,0,0
20260420_180340,,1,48.385,reg-serial,896m,0.45,0.5,4,10.49,29.5,38.39,175.3,429.62,294,2076,1,736
