timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260317_192002,6,78.001,reg-parallel,768m,0.45,0.5,4,0.0,0.54,0.54,194.11,424.81,61,751,3,879
20260317_192226,6,80.677,one-thread-parallel,768m,0.45,0.5,4,0.0,1.13,1.13,274.3,481.51,42,1315,3,1193
20260317_191746,6,80.047,two-thread-parallel,768m,0.45,0.5,4,0.0,0.54,0.54,204.35,440.78,60,820,3,691
20260317_192549,6,74.728,reg-serial,768m,0.45,0.5,4,0.0,0.54,0.54,62.62,261.73,244,1985,4,700
20260317_192843,6,74.011,reg-parallel,768m,0.45,0.5,4,0.0,0.54,0.54,233.94,456.15,50,794,3,837
20260317_193046,6,78.037,one-thread-parallel,768m,0.45,0.5,4,0.0,0.54,0.54,283.71,478.91,40,1320,3,1249
20260317_193336,6,74.606,two-thread-parallel,768m,0.45,0.5,4,0.0,0.54,0.54,265.46,451.75,55,794,3,709
20260317_193540,6,73.183,reg-serial,768m,0.45,0.5,4,0.0,0.54,0.54,62.51,256.0,244,1965,4,666
