timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260421_234139,,3,122.003,default,512m,0.45,0.5,4,6.29,21.41,27.71,105.17,360.22,661,4298,2,1139
20260421_234139,,6,57.255,default,512m,0.45,0.5,4,6.29,22.54,27.71,129.53,366.12,343,1962,0,0
20260421_234139,,5,102.938,default,512m,0.45,0.5,4,6.29,32.05,37.29,142.49,394.33,416,3037,1,741
20260421_234139,,1,164.932,default,512m,0.45,0.5,4,6.29,32.9,38.01,161.47,424.53,855,4612,1,499
20260421_234139,,1,160.43,default,512m,0.45,0.5,4,6.29,32.9,38.01,180.21,433.31,853,4842,0,0
20260421_234139,,6,56.323,default,512m,0.45,0.5,4,6.29,32.9,38.01,191.63,447.3,239,1401,0,0
20260421_234139,,5,94.985,default,512m,0.45,0.5,4,6.29,32.9,38.01,205.97,479.76,286,2241,1,704
20260421_234139,,3,99.469,default,512m,0.45,0.5,4,6.29,53.63,59.92,213.42,480.91,322,2232,0,0
20260421_234139,,3,99.427,default,512m,0.45,0.5,4,6.29,53.63,59.92,213.42,502.17,301,2281,1,844
20260421_234139,,1,158.788,default,512m,0.45,0.5,4,6.29,53.63,59.92,224.75,502.17,794,4276,0,0
20260421_234139,,5,92.948,default,512m,0.45,0.5,4,6.29,53.63,59.92,224.75,502.17,268,1967,1,776
20260421_234139,,6,56.368,default,512m,0.45,0.5,4,6.29,53.63,59.92,224.75,502.17,221,1331,0,0
