timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260302_153801,1,229.088,default,512m,0.45,0.5,4,5.24,0.71,5.82,95.59,309.63,1572,8322,5,794
20260302_154302,1,224.537,default,640m,0.45,0.5,4,9.44,0.61,10.01,102.94,314.96,1443,7765,5,909
20260302_154748,1,225.225,default,768m,0.45,0.5,4,9.44,0.61,10.01,102.86,313.65,1445,7632,5,1165
20260303_014255,1,263.546,reg-g1gc,512m,0.45,0.5,4,5.24,0.61,5.82,179.08,399.38,522,4077,0,0
20260303_014819,1,173.093,reg-g1gc,640m,0.45,0.5,4,9.44,0.71,10.01,213.52,437.4,434,2468,0,0
20260303_015208,1,169.814,reg-g1gc,768m,0.45,0.5,4,9.44,0.71,10.01,208.14,435.77,448,2363,0,0
