timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260302_150916,9,182.193,default,640m,0.45,0.5,4,126.88,4.7,131.58,303.49,582.68,871,6629,8,3124
20260302_151458,9,195.83,default,512m,0.45,0.5,4,87.44,4.85,91.98,250.12,535.84,828,6315,8,3014
20260302_152036,9,189.733,default,768m,0.45,0.5,4,168.82,4.63,173.3,353.37,592.3,838,6315,8,3163

