timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260302_212157,5,180.7,heap-min-128,640m,0.45,0.5,4,9.44,32.19,41.49,175.92,406.74,248,2830,0,0
20260302_212602,5,175.295,heap-min-256,640m,0.45,0.5,4,9.44,32.24,41.53,238.99,474.84,127,2436,0,0
20260302_213006,5,174.599,heap-min-384,640m,0.45,0.5,4,9.44,32.34,41.63,319.55,586.05,87,2242,0,0
