timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260310_161028,6,77.821,tiered-full,768m,0.45,0.5,4,0.0,0.54,0.54,247.07,454.95,39,613,0,0
20260310_161311,6,78.581,no-tiered-c2,768m,0.45,0.5,4,0.0,0.54,0.54,264.84,441.88,37,652,0,0
